time, AIRS3STD_7_0_SurfSkinTemp_A
2022-09-04,18.7250004
2022-09-05,-9999.0
2022-09-06,14.0375004
2022-09-07,11.2250004
2022-09-08,24.7875004
2022-09-09,24.7875004
2022-09-10,26.1000004
2022-09-11,-9999.0
2022-09-12,16.2250004
2022-09-13,19.7875004
2022-09-14,21.4750004
2022-09-15,20.2250004
2022-09-16,8.78750038
2022-09-17,24.2250004
2022-09-18,23.4750004
2022-09-19,-9999.0
2022-09-20,15.4125004
2022-09-21,26.6625004
2022-09-22,10.5375004
2022-09-23,16.6625004
2022-09-24,18.6625004
2022-09-25,-9999.0
2022-09-26,17.9750004
2022-09-27,13.1625004
2022-09-28,9.41250038
2022-09-29,16.6000004
2022-09-30,17.6000004
2022-10-01,20.2250004
2022-10-02,16.6625004
2022-10-03,16.1625004
2022-10-04,-9999.0
2022-10-05,18.6625004
2022-10-06,25.5375004
2022-10-07,13.9125004
2022-10-08,16.7250004
2022-10-09,15.4750004
2022-10-10,15.1000004
2022-10-11,17.8500004
2022-10-12,11.9750004
2022-10-13,-9999.0
2022-10-14,16.7875004
2022-10-15,18.2875004
2022-10-16,17.1000004
2022-10-17,15.2250004
2022-10-18,-9999.0
2022-10-19,-4.5875001
2022-10-20,-9999.0
2022-10-21,15.3500004
2022-10-22,17.8500004
2022-10-23,18.2250004
2022-10-24,17.7875004
2022-10-25,17.4125004
2022-10-26,19.2875004
2022-10-27,11.7875004
2022-10-28,12.7875004
2022-10-29,16.0375004
2022-10-30,15.4750004
2022-10-31,10.2250004
2022-11-01,9.03750038
2022-11-02,16.5375004
2022-11-03,-9999.0
2022-11-04,20.1000004
2022-11-05,15.7875004
2022-11-06,18.9125004
2022-11-07,13.7250004
2022-11-08,10.6000004
2022-11-09,13.4125004
2022-11-10,17.1625004
2022-11-11,-9999.0
2022-11-12,-9999.0
2022-11-13,3.0999999
2022-11-14,6.9124999
2022-11-15,-9999.0
2022-11-16,4.2874999
2022-11-17,1.97500002
2022-11-18,1.97500002
2022-11-19,-0.774999976
2022-11-20,0.725000024
2022-11-21,3.3499999
2022-11-22,3.3499999
2022-11-23,7.5374999
2022-11-24,5.9124999
2022-11-25,1.16250002
2022-11-26,11.6625004
2022-11-27,-9999.0
2022-11-28,-9999.0
2022-11-29,-9999.0
2022-11-30,-9999.0
2022-12-01,-9999.0
2022-12-02,6.8499999
2022-12-03,-9999.0
2022-12-04,1.97500002
2022-12-05,9.53750038
2022-12-06,-2.5250001
2022-12-07,-1.83749998
2022-12-08,0.975000024
2022-12-09,4.3499999
2022-12-10,0.912500024
2022-12-11,-6.4000001
2022-12-12,-0.150000006
2022-12-13,2.4124999
2022-12-14,1.85000002
